Hora (UTC-03:00),Clics,Impresiones,CTR,Posición
2026-01-25T14:00:00,0,0,0%,0
2026-01-25T15:00:00,0,0,0%,0
2026-01-25T16:00:00,0,0,0%,0
2026-01-25T17:00:00,0,0,0%,0
2026-01-25T18:00:00,0,0,0%,0
2026-01-25T19:00:00,0,0,0%,0
2026-01-25T20:00:00,0,0,0%,0
2026-01-25T21:00:00,0,0,0%,0
2026-01-25T22:00:00,0,0,0%,0
2026-01-25T23:00:00,0,0,0%,0
2026-01-26T00:00:00,0,0,0%,0
2026-01-26T01:00:00,0,0,0%,0
2026-01-26T02:00:00,0,0,0%,0
2026-01-26T03:00:00,0,0,0%,0
2026-01-26T04:00:00,0,0,0%,0
2026-01-26T05:00:00,0,0,0%,0
2026-01-26T06:00:00,0,0,0%,0
2026-01-26T07:00:00,0,0,0%,0
2026-01-26T08:00:00,0,0,0%,0
2026-01-26T09:00:00,0,0,0%,0
2026-01-26T10:00:00,0,0,0%,0
2026-01-26T11:00:00,0,0,0%,0
2026-01-26T12:00:00,0,0,0%,0
